scorer,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200,DLC_Resnet50_2024-11-18 OFTNov18shuffle1_snapshot_200
bodyparts,Nose,Nose,Nose,Head,Head,Head,MainBody,MainBody,MainBody,Butt,Butt,Butt,TailTip,TailTip,TailTip
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
101,457.45422,534.8762,0.899162,468.18112,507.41663,0.735261,483.7891,482.60236,0.83003587,510.68954,449.34167,0.7306223,541.65814,376.58276,0.9380855
102,463.35812,544.846,0.8192504,468.7228,520.1326,0.65220237,483.7891,487.7497,0.7340026,506.20862,452.25934,0.51571697,540.24445,377.4102,0.9739372
103,467.1153,551.8785,0.87757534,469.37704,529.46155,0.74651587,480.21097,495.89734,0.7778052,499.89032,458.61282,0.6756071,533.2523,384.62033,0.94107264
104,468.39276,558.67944,0.893937,469.37704,535.2782,0.70215535,479.26138,496.84006,0.7875423,495.90826,462.4019,0.37393525,523.9404,387.78952,0.9982014
105,468.39276,566.46515,0.88369286,470.01044,544.13257,0.6981712,474.12454,509.48755,0.6370412,489.33234,464.2148,0.56299543,515.6139,391.8474,0.9724916
106,468.39276,572.0927,0.92668205,470.01044,550.63495,0.7477392,474.12454,509.7675,0.6163357,483.2453,469.9932,0.689024,505.40622,396.91415,0.9004886
107,466.9479,577.3221,0.8321083,470.01044,552.3703,0.6514887,474.07632,512.05707,0.6458606,479.10968,477.3479,0.66867846,493.51987,397.1357,0.8879789
108,465.76837,581.4587,0.86163515,468.51166,560.3366,0.6861685,473.76776,513.2522,0.6212224,476.7937,478.597,0.7378749,484.70044,398.2823,0.975411
109,465.76837,586.53845,0.90581965,467.35812,565.225,0.7019214,472.87198,523.6213,0.552996,476.7937,483.9977,0.78449774,484.70044,401.11624,0.8674003
110,465.76837,593.1218,0.824023,466.94928,567.5114,0.67122847,472.87198,526.6162,0.7168264,476.7937,489.77188,0.75735384,484.70044,408.8982,0.90165263
111,466.29272,598.7782,0.86725676,466.91943,576.5303,0.6537966,471.5803,529.2744,0.75109386,477.0527,495.71756,0.7448985,492.665,418.34747,0.9724449
112,466.29272,602.95294,0.8328791,466.13953,580.242,0.7443105,471.5803,531.284,0.6791624,477.0527,498.18918,0.6576243,495.94934,418.5454,0.9146206
113,466.29272,608.0834,0.4946544,465.7735,580.87305,0.51884955,470.9477,538.79706,0.63510364,477.0527,501.99203,0.6416811,498.48923,421.84027,1.0
114,465.8938,608.93896,0.53731203,465.15134,581.298,0.54900074,470.8092,539.35046,0.61765033,476.74265,502.786,0.6474914,498.48923,421.84027,1.0
115,464.3519,609.4366,0.4896022,464.96637,581.298,0.58334106,470.20282,539.57086,0.6089796,475.74213,503.08728,0.70837903,498.48923,421.84647,0.98862815
116,461.0513,609.4739,0.55284595,463.62808,582.03217,0.63869673,469.83246,539.57086,0.60639274,475.66928,503.31186,0.66990423,498.20996,422.75208,0.9258182
117,461.0513,609.8119,0.5298676,463.4266,582.3848,0.6363001,469.4143,539.7016,0.618408,475.27927,506.66806,0.67849445,498.20996,422.7559,0.9771564
118,461.0513,610.00977,0.52657646,463.4266,582.3848,0.6589927,469.4143,539.7016,0.61247456,475.27927,507.22906,0.6868391,498.19727,422.7559,0.97030574
119,463.34174,610.08105,0.54522735,463.4266,582.6158,0.65158606,469.4143,539.7708,0.5951828,475.27927,507.2375,0.66969705,498.19727,423.07025,0.9739468
120,464.35138,610.1795,0.47071636,464.171,582.6158,0.5165617,469.81186,539.89734,0.6238959,475.70544,507.8378,0.6552739,497.89148,424.05472,0.9321558
121,464.68445,610.18304,0.4715221,464.57825,582.6158,0.50978625,470.23346,539.89734,0.62672234,475.70544,508.07965,0.6801112,496.63452,425.07312,0.8725816
122,464.68445,610.6555,0.45485324,464.8915,582.6158,0.4885273,470.30182,540.05707,0.6239687,475.70544,508.9575,0.6605124,496.4964,426.13495,0.8755932
123,464.71378,610.18304,0.4431695,464.8915,582.6158,0.47437218,470.30182,540.05707,0.62597275,475.69363,508.9575,0.6894343,494.83264,426.13495,0.8829289
124,464.71378,610.18304,0.50706834,464.93454,582.48004,0.5112996,470.5069,540.05707,0.6384225,475.45218,508.9575,0.67292005,494.4107,426.13495,0.9140988
125,464.71378,609.85724,0.6141809,464.93454,582.34985,0.6322099,470.5938,539.63434,0.6228966,474.64075,507.46017,0.6626532,493.47617,424.40268,0.87223285
126,471.2892,604.855,0.7001103,468.07816,581.87195,0.6049019,470.30182,531.3412,0.60204476,473.33893,501.017,0.6898739,490.51062,423.8164,0.9428215
127,479.40573,603.06635,0.84704226,471.1607,581.65546,0.6843442,469.87735,530.4792,0.6606495,471.02454,500.59473,0.7506404,484.75848,418.15442,0.9928837
128,484.73032,593.46045,0.8840154,474.42587,574.9757,0.7636351,469.87735,530.1617,0.6586516,469.21918,498.67737,0.8444608,477.6872,415.31558,0.87098473
129,492.06485,586.9195,0.89639705,478.83807,571.5965,0.73360014,468.9337,530.1617,0.6960446,468.28522,498.67737,0.85673314,474.05392,414.50647,0.9455679
130,497.5575,586.54565,0.8829504,482.83783,571.5965,0.72738856,468.9337,530.1617,0.7364378,467.38513,498.67737,0.83104414,471.7667,414.50647,0.9248146
131,504.41092,586.54565,0.87336606,488.9158,571.5965,0.7439828,468.9337,531.3282,0.6725395,466.82608,500.25076,0.8632915,471.42603,414.50647,0.9201239
132,509.5206,586.54565,0.91518265,493.76385,573.63916,0.7311991,469.2433,537.622,0.64155746,466.79135,504.39978,0.76486665,470.82535,420.41916,1.0
133,514.62305,587.3892,0.9625346,499.57965,575.843,0.78409785,472.25018,540.2752,0.757236,466.78946,509.2783,0.7346456,467.59683,428.18536,0.9526485
134,523.7219,589.8725,0.9518065,506.46097,578.9555,0.7657809,477.66464,548.57227,0.75355697,466.6611,518.1,0.71854764,467.2882,438.19757,0.955824
135,525.9671,593.34827,0.8968944,512.1957,581.7731,0.7659191,480.70523,556.4988,0.71264523,464.31165,526.5293,0.793803,467.2882,443.83328,0.9158691
136,530.63916,595.82526,0.94038606,515.0203,583.7273,0.7723101,483.63382,559.55457,0.8202541,462.29297,532.39404,0.6895733,467.2882,452.9419,0.9944834
137,531.77014,595.82526,0.9498554,516.3582,583.88513,0.7800272,483.74445,560.8142,0.7398245,461.33008,533.7729,0.63917285,471.38562,454.43362,0.9727043
138,533.6604,595.82526,0.9289391,518.1361,583.88513,0.7590582,483.74445,560.983,0.6964703,460.602,534.12494,0.59701663,474.7037,457.65756,1.0
